location;search_location
lille;Lille--France,50.62924999999999,3.057256000000052
rennes;Rennes--France,48.117266,-1.6777925999999752
toulouse;Toulouse--France,43.604652,1.4442090000000007
paris;Paris--France,48.85661400000001,2.3522219000000177
lyon;Lyon--France,45.764043,4.835658999999964
marseille;Marseille--France,43.296482,5.369779999999992
bordeaux;Bordeaux--France,44.837789,-0.5791799999999512
strasbourg;Strasbourg--France,48.57340529999999,7.752111300000024
nice;Nice--France,43.7101728,7.261953199999994
nantes;Nantes--France,47.218371,-1.553621000000021
montepellier;Montpellier--France,43.610769,3.8767159999999876
reims;Reims--France,49.258329,4.031696000000011
